Q,A
"어떤 여자가 팔꿈치로 내 옆구리를 찔렀다. 
A woman dug her elbow into my _______.

night, with, side, he",side
"기입 사항에 서명 날인해주세요. 
Please _______ and seal an entry.

high, sign, doctor, sea",sign
"금, 은, 동은 원소이다. 
Gold, _______ and copper are elements.

silver, aunt, bell, thousand",silver
"결국 백조들은 노래하는 법을 잊었다.
In time, swans forgot how to _______.

on, handle, sing, stove",sing
"미안합니다 손님. 찾으시는 음식이 없는데요.
I'm sorry, _______. We don't serve your kind.

kind, hard, only, sir",sir
"네 누이동생에게 안부 전해 줘.
Say hi to your _______ for me.

word, taxi, sister, wonder",sister
"앞자리에 앉겠습니다. 
I'll _______ in the front seat.

hi, bench, pencil, sit",sit
"여행용 가방들은 모두 크기가 똑같다.
(크기   suitcases are all the same _______.

skirt, size, right, long",size
"아이가 거리에서 스케이트보드를 타지 않게 하세요. 
Don't let your child _______ on the street.

now, night, ask, skate",skate
"치마가 문에 걸렸다. 
The _______ caught in a door.

cat, below, bird, skirt",skirt
"하늘의 달이 이울기 시작했다.
The moon in the _______ is on the wane.

ill, sky, slow, sun",sky
"나 지금 좀 자고 싶어. 
I need some _______ right now.

sleep, stamp, to, church",sleep
"서랍들은 미끄러지듯 수월하게 여닫힌다. 
The drawers _______ in and out easily.

slide, why, cold, small",slide
"시계가 5분 늦다 
Your watch is five minutes _______.

slow, lake, shoulder   , desk",slow
"하이에나는 죽어있는 작은 동물을 먹고 산다. 
Hyenas feed on _______ dead animals.

city, open, small, sure",small
"가스 냄새가 난다 
I _______ gas.

milk, television, smell, why",smell
"미소가 그녀의 입가에 감돌았다.
A _______ rested on her lips.

till, hate, tiger, smile",smile
"방은 연기로 가득 차 있다. 
The room is filled with _______

dance, find, evening, smoke",smoke
"겨울에 눈이 많이 오지 않나요? 
Don't you have much _______ in winter?

hurt, send, snow, bench",snow
"그래서 재미있는 쇼를 하고 싶었어요. 
So I wanted to do a funny show.

black, banana, so, must",so
"비누 한 장 사용했으면 하는데요. 
I could use a bar of _______.

what, soap, ceiling, dolphin",soap
"그것은 바로 월드컵 축구대회입니다. 
It is the World Cup _______ contest.

many, soccer, candle, winter",soccer
"그의 양말에 구멍이 뚫어져 있다 .
There is a hole in his _______.

sock, shout, person, weather",sock
"난 아주 부드러운( 푹신한)  매트리스를 좋아해요. 
I like a really _______ mattress.

on, club, marry, soft",soft
"냉장고에 사과가 좀 있니? 
Are there _______ apples in the refrigerator?

some, pen, sweater, red",some
"아들은 축구가 더 중요하다고 생각한다. 
The _______ thinks soccer is more important.

hurry, son, introduce, new",son
"그 노래는 내 영혼을 압도했다. 
The _______ swept over my soul.

song, lip, say, strawberry",song
"그는 곧 달아날 거야. 
The man will skip it _______.

study, soon, basket, model",soon
"유감입니다. 
I am _______ to hear that.

course, sorry, right, temple",sorry
"소리가 들리다 안 들리다 합니다. 
The _______ goes on and off.

young, ruler, classmate, sound",sound
"수프에서 양파 빼주세요. 
Hold the onion from the _______.

pear, soup, yes, king",soup
"그는 남쪽으로 차를 몰았다. 
He drove his car down _______.

south, full, picnic, glove",south
"내 차를 주차할 공간이 없네. 
No _______ for parking my car.

blow, enough, under, space",space
"그녀는 너무 수줍어해 말도 못한다 
She is too shy to _______.

join, button, begin, speak",speak
"기차는 점점 속력을 내고 있었다. 
The train was gradually picking up _______.

arrive, speed, hundred, pardon",speed
"그 단어의 스펠링을 가르쳐 주십시오 
Please tell me how to _______ that word.

spell, cross, idea, wing",spell
"사람들은 쓸 돈이 더욱 많다. 
People have more money to _______.

call, spend, want, space",spend
"이 스푼으로 고깃국물을 뜨세요. 
Use this _______ to help the gravy.

who, plane, spoon, cut",spoon
"축구는 가장 인기 있는 운동 중 하나이다. 
Soccer is one of the most popular _______.

sheep, restaurant , case, sports",sports
"봄기운이 완연하군. 
I think _______ is in the air.

tie, spring, surprise, pretty",spring
"동굴의 내부는 거대한 정사각형의 형태로 되어 있다. 
The cave room is a great _______.

enough, square, sleep, evening",square
"남자가 계단에서 기다리고 있다. 
The man is waiting on the _______.

bell, stair, sock, bread",stair
"이 우표는 특별판이에요. 
The _______ is a special edition.

happen, bear, stamp, poor",stamp
"그렇게 얼빠진 얼굴을 하고 서 있지 마라 
Don't _______ there looking like a fool.

stand, rest, skirt, sleep",stand
"남자가 별을 보며 소원을 빌고 있다. 
A man is wishing on a _______.

parent, leaf, star, draw",star
"영화는 30분 후에 시작한다. 
The movie will _______ in half an hour.

train, start, try, present",start
"역까지 바래다 드리지요. 
I’ll walk you to the _______.

sand, station, north, oh",station
"좀 더 머물수 있니? 
Can you _______ a little longer?

stay, umbrella, push, finish",stay
"이 엔진들은 증기로 움직인다. 
These engines are driven by _______.

tired, wait, knock, steam",steam
"난 이제 낙원에 한 걸음 가까이 간 셈이야. 
I am one _______ closer to paradise.

excuse, step, south, sweet",step
"그는 지팡이로 나를 때렸다. 
He did dot at me one with a _______.

put, when, stick, pilot",stick
"이 돌은 아무 가치도 없는 것이다. 
This _______ is not worth a dump.

cook, stone, friend, on",stone
"재채기를 멈출 수 없어요. 
I can't _______ sneezing.

stone, kitchen, fair, stop",stop
"사람들은 장난감 가게에 있다.
The people are in the toy _______.

teach, store, never, clock",store
"그들은 폭풍우에 겁을 먹고 있다. 
They are scared by the _______.

storm, mother, temple, luck",storm
"너에게 들려줄 이야기가 하나 있어. 
I want to tell you a _______.

sweater, story, doctor, camera",story
"난로를 언제 배달해 주실 수 있어요? 
When can you deliver the _______?

glass, money, coffee, stove",stove
"나는 회사에서 곧장 왔다. 
I came _______ from the office.

straight, star, where, cream",straight
"이상한 소리에 그는 잠이 깼다. 
A _______ noise broke his sleep.

swim, cheese, the, strange",strange
"딸기가 탁자 위에 있다. 
The strawberries are on the table.

when, card, strawberry, air",strawberry
"언젠가 그 거리에 가보고 싶어. 
I hope to visit that _______ sometime.

a,an, street, for, to",street
"쇠는 달구어졌을 때 쳐라. 
Strike while the iron is hot.

busy, strike, meet, sell",strike
"나는 강한 여자가 좋아. 
I like a woman to be _______.

base, library, under, strong",strong
"학생들은 각자 자기 책상을 갖고 있다 
Each _______ has his own desk.

only, long, hello, student",student
"너무 피곤해서 공부를 못 하겠어. 
I am too tired to _______.

strong, floor, lake, study",study
"난 네가 생각하는 만큼 그렇게 어리석지 않아. 
I'm not so _______ as you think.

way, shut, left, stupid",stupid
"이 근처에서 지하철을 탈 수 있습니까? 
Can I find a _______ nearby here?

subway, boat, table, hole",subway
"커피에 설탕을 넣습니까? 
Do you use _______ in your coffee?

queen, sugar, excite, winter",sugar
"여름 세일 중이다 
The _______ sales are on now.

summer, land, tired, talk",summer
"태양이 달보다 작아. 
The _______ is smaller than the moon.

sun, tired, tomato, time",sun
"나는 어제 슈퍼마켓에 갔다. 
I went to the _______yesterday.

eye, supermarket , rain, shape",supermarket 
"집에서 매일 저녁 식사 때 술을 마십니다. 
I drink at _______ every day at home.

curtain, pine, write, supper",supper
"우울증에 확실한 치료약입니다. 
A _______ cure for the blues.

because, sure, dark, aunt",sure
"놀라는 빛이 그의 표정에 나타났다 
A look of _______ came over his face.

sea, afraid, because, surprise",surprise
"소년이 스웨터를 입고 있다. 
The boy is putting on a _______.

pilot, supper, sweater, box",sweater
"이 포도는 달콤새콤하다 
These grapes taste _______ and sour.

lip, butter, sweet, send",sweet
"수영할 줄 알지만 잘하지는 못한다. 
I can _______, but not very well.

much, film, page, swim",swim
"그녀는 약간 흔들거리면서 걷는다. 
She has a slight _______ in her walk.

ill, ink, swing, eye",swing
"스위치를 켜주겠어요? 
Would you please kick the _______ on.

switch, bottle, like, join",switch
"수건이 테이블 위에 있다
The towels are on the _______.

table, switch, mother, twice",table
"기회를 잡아야겠다고 생각했어요. 
I thought I'd _______ a chance.

sweater, brush, hurt, take",take
"그 남자 하고 말하기 싫어. 
I don't want to _______ to him.

talk, count, dear, matter",talk
"Lisa는 나만큼 키가 커요.
]Lisa is as _______ as I am.

week, into, tall, son",tall
"이 비디오 테이프는 얼마예요? 
What's the price of this video _______?

lip, fruit, tape, number",tape
"이 음식은 맛이 별로 없다.
This food has very little _______.

taste, with, dress, pear",taste
"택시가 시내를 달리고 있다. 
The _______ is diriving down the street.

knock, calendar, taxi, child",taxi
"차나 한잔 할까요? 
Why don’t you join me for a cup of _______?

soccer, tea, off, switch",tea
"학교에서는 1학년 때 읽기를 가르친다. 
Schools _______ reading in the first grade.

floor, teach, late, shoes",teach
"우리 팀은 많은 팬들이 있어요. 
Our _______ has plenty of fans.

fill, till, team, game",team
"전화가 탁자 위에 있다. 
The _______ is on the table.

road, cheap, horse, telephone",telephone
"우리는 TV로 그 경기를 봤어. 
We watched the game on _______.

television, fill, old, candle",television
"내 앞에서는 진실을 말해도 좋다. 
You can _______ the truth before me.

tell, bear, tooth, gray",tell
"이 절은 모든것이 고색찬란하다. 
This _______ looks hoary in everything.

at, dream, temple, roll",temple
"테니스와 스키를 즐깁니다. 
like playing _______ and skiing.

that, tennis, quiet, before",tennis
"오늘 운전면허 시험에 떨어졌어요. 
I failed my driver's _______ today.

window, film, test, apple",test
"태양이 달보다 작아. 
The sun is smaller _______ the moon.

zoo, than, job, skate",than
"고맙게도 전쟁이 끝났다 
Thank God, the war is over.

potato, thank, big, lake",thank
"저것은 무엇이니?
What is _______?

that, toy, empty, record",that
"그 소녀가 부엌에 있다. 
The girl is in _______ kitchen.

mirror, fork, the, switch",the
"그 때까지는 알려드릴 수 있습니다. 
I think we can let you know by _______.

open, well, shoes, then",then
"10일 동안 거기에 있었어요 
We spent about ten days _______.

busy, slide, there, street",there
"많은 물을 사용한다. 
They use a lot of water.

win, sweater, son, they",they
"난 너무 두꺼운 것은 싫어.
I don't like it too _______.

thick, touch, show, pardon",thick
"또는 매우 얇게 자른 빵을 사용하세요.
Or use very _______ sliced bread.

train, wear, thin, beach",thin
"나는 그런 짓은 하지 않는다 
I will not do such a _______.

island, pay, mother, thing",thing
"실은 그녀가 정말 멋지다고 생각해.
Actually, I _______ she's pretty cool.

across, think, become, today",think
"나는 배고픈 데다 목도 마르다. 
I am hungry and _______ too.

pool, true      , grape, thirsty",thirsty
"이것은 연필이다. 
This is a pencil.

this, blue, slide, swim",this
"5천원만 더 깍아주세요. 
I want five _______ won discounted.

danger, dial, gas, thousand",thousand
"그 길은 숲 속으로 통하고 있다 
The road runs _______ the forest.

hard, night, climb, through",through
"우리는 또한 철과 강철도 버린다. 
We also _______ away iron and steel.

leg, lamp, throw, stay",throw
"그런 종류의 표도 있어요? 
Is there that kind of _______?

never, capital, rainbow, ticket",ticket
"남자는 넥타이를 매고있지 않다. 
He is not wearing a _______.

or, tie, boat, pocket",tie
"호랑이는 꼬리가 길다. 
A _______ has a long tail.

gold, king, tiger, pass",tiger
"비가 그칠 때까지 기다립시다. 
Let's wait _______ the rain stops.

noise, butter, thirsty, till",till
"네 시간을 빼앗아 미안. 
Sorry to eat up your _______.

king, good, time, send",time
"남자가 약간 지쳤다. 
The man is a bit _______.

field, tired, bottle, afternoon",tired
"너한테 업무적으로 할 얘기가 있다. 
I want _______ speak _______ you on business.

spring, speak, show, to",to
"오늘 깜짝 시험을 봤어요. 
We had a pop quiz _______.

today, sea, evening, silver",today
"함께 모아서 먹어라 
Put it all _______ and eat.

village, together, nose, island",together
"나한테 토마토 하나와 오렌지 하나가 있어요. 
I have a _______ and an orange.

or, blow, tomato, bank",tomato
"내일 아침에 시험이 있다 
We have a quiz _______ morning.

tomorrow, open, corner, ink",tomorrow
"오늘밤에 저희 집 좀 봐주시겠어요? 
Will you house-sit for me _______?

die, bad, handle, tonight",tonight
"그들은 또 많은 질문을 했어. 
They asked a lot of questions, _______.

hour, roll, introduce, too",too
"이빨을 건드리면 아픕니다. 
The _______ hurts when I tap it.

queen, tooth, service, mad",tooth
"우리는 단숨에 꼭대기에 도달했다. 
We reached the _______ in first dash.

dark, farm, top, shoes",top
"그 동전 만지지 마! 
Don't _______ that penny!

sorry, computer, touch, up",touch
"그는 방금 마을에 도착했다. 
He is a newcomer in this _______.

town, neck, silver, gentle",town
"그는 장난감 상자 안을 찾아보아요. 
He looks in the _______ box.

supermarket , shut, by, toy",toy
"그 열차는 여섯 시 반에 도착한다 
The _______ is due at six thirty.

baby, camp, train, home",train
"나는 세계를 여행하고 싶다 
I want to _______ around the world.

student, travel, sugar, once",travel
"소년은 나무를 오르고 있다. 
The boy is climbing a _______.

tree, face, letter, take",tree
"일본 여행은 어땠어요? 
How was your _______ to Japan?

trip, afraid, hundred, bus",trip
"트럭이 차와 경주하고 있다. 
The _______ is racing the car.

tea, kid, truck, or",truck
"나는 참사랑을 믿지 않는다. 
I don’t believe in true love.

true      , light, world, far",true      
"입어 보시겠어요? 
Would you like to _______ it on?

wide, market, try, pine",try
"그녀의 암호명은 튤립이었다 
튤립   Her code name was Tulip.

coin, today, tulip, hose",tulip
"다음 코너에서 왼쪽으로 도시오 
Turn left at the next corner.

banana, present, look, turn",turn
"이것은 저 길이의 두 배이다 
This is _______ as long as that.

welcome, twice, make, tea",twice
"이것은 틀림없이 내 우산이다. 
This is really and truly my _______.

group, umbrella, tired, poster",umbrella
"우리 삼촌은 유명한 의사예요. 
My _______ is a famous doctor.

uncle, wake, roll, map",uncle
"개가 책상 아래에 있다. 
The dog is _______ the desk.

church, pen, under, hall",under
"좋아, 이해하기 쉽게 들리는구나. 
이해하다   Okay, it sounds easy to understand.

music, fall, police, understand  ",understand  
"죽는 날까지 날 떠나지 마세요. 
Don't ever leave me _______ I die.

until, stand, clock, climb",until
"일어서라.
Stand _______!

up, lunch, ceiling, spoon",up
"그들은 많은 물을 사용한다. 
They _______ a lot of water.

morning, than, use, gate",use
"그는 평소보다 빨리 일어났다 
He got up earlier than _______.

picnic, table, thank, usual",usual
"휴가 언제 떠나세요? 
When are you leaving for your _______?

hiking, slow, finger, vacation",vacation
"나는 육식보다 채식을 좋아한다 
I prefer a _______ diet to meat food.

vegetable, tiger, if, pilot",vegetable
"대단히 미안합니다 
I am _______ sorry.

very, dance, night, north",very
"지금 비디오 켠다. 서둘러. 
I'm turning on the _______ now. Hurry up.

surprise, till, wrong, video",video
"마을이 발달하여 도시가 되었다 
A _______ has grown into a large town.

hate, can, dead, village",village
"원하면 언제든 날 방문해도 좋다. 
You can _______ me whenever you want.

television, let, shoot, visit",visit
"그녀는 바이올린을 좋아하지 않는다. 
She does not like the _______.

spend, long, Mrs., violin",violin
"비가 그칠 때까지 기다립시다. 
Let's _______ till the rain stops.

trip, wait, speak, space",wait
"그는 그녀를 깨우려고 애쓰고 있어. 
He is trying to _______ up her.

new, to, wake, sad",wake
"오늘 날씨가 참 좋군요. 걸어갑시다. 
It's a nice day today. Let's _______.

ship, wash, walk, draw",walk
"시계들이 벽에 있다. 
The clocks are on the _______.

not, afraid, wall, page",wall
"학생들은 하고 싶은 일이 많다. 
Students _______ to do many things.

west, rice, want, gate",want
"그는 전사했다 
He was killed in the _______.

butter, sing, war, afternoon",war
"노란색 같은 색들은 따뜻하게 느껴진다 
Some colors like yellow feel _______.

air, warm, win, light",warm
"제인, 먹기 전에 손을 씻거라. 
Jane, _______ your hands before eating.

wash, pilot, salt, then",wash
"시간과 돈낭비일 뿐입니다. 
It's just _______ of time and money.

island, waste, try, strawberry",waste
"다시 또 보고 싶어. 
I want to _______ it again.

telephone, watch, white, church",watch
"물 한잔 마셔야겠어. 
I need a cup of _______.

grandmother , long, play, water",water
"숙녀는 우리에게 길 안내했다.
The lady showed the _______ to us.

way, corner, movie, yeah",way
"우리가 조금씩 돈을 거두면 그를 도울 수 있다 
If _______ chip in, _______ can help him.

face, we, not, dictionary",we
"강자는 약한 자를 보호해야 한다 
The strong should protect the _______

hen, weak, son, usual",weak
"나는 교복을 입고 싶지 않아. 
I don't want to _______ uniforms.

wear, forget, yeah, surprise",wear
"거기 날씨는 어때요? 
How's the _______ where you are?

age, weather, bus, office",weather
"1주일은 며칠인가요? 
How many days are there in a _______?

sorry, week, hair, which",week
"어서 오세요. 여행은 어땠어요? 
Welcome back. How was the trip?

welcome, yesterday , weather, dad",welcome
"우유를 넣고 잘 섞어라
Add the milk and stir _______.

plane, well, wood, give",well
"중국은 한국 서쪽에 있다 
China lies to the _______ of Korea.

hose, easy, subway, west",west
"비가 와서 난 흠뻑 젖었다. 
I was _______ to the skin in the rain.

wet, winter, shoes, ribbon",wet
"이 선물의 목적은 무엇인가? 
What is the purpose of the gift?

show, shape, day, what",what
"다음 버스가 언제 오죠? 
When does the next bus arrive?

send, when, excite, sheet",when
"어디서 이 공책을 샀어요? 
]Where did you buy this notebook?

ship, angry, circle, where",where
"어느 것이 어느 것인지 모르겠다 
I can not tell _______ is _______.

show, bath, which, game",which
"검은 암탉이 하얀 알을 낳는다. 
A black hen lays _______ eggs.

white, wait, dish, chair",white
"누가 경주에서 1등 했나요? 
Who finished first in the race?

who, sing, empty, drive",who
"왜 그렇게 걱정을 해? 
Why do you worry so much?

why, pipe, balloon, line",why
"그것은 넓다. 그것은 넓은 침대야. 
It is _______. It's a _______ bed.

wide, cut, dark, answer",wide
"파티는 우리 집에서 열릴 거야. 
The party _______ be at my house.

will, balloon, mirror, away",will
"우리 팀은 꼭 이긴다. 
Our team is bound to _______.

white, ticket, tape, win",win
"깃발이 바람에 파닥거린다 
A flag flaps in the _______.

wind, early, pink, meet",wind
"여자는 창문을 닦고 있다. 
The woman is wiping the _______.

case, window, oh, vacation",window
"잠자리치고는 날개가 이상하네. 
It has strange _______s for a dragonfly

bed, candy, wing, restaurant ",wing
"겨울에 눈이 많이 오지 않나요? 
Don't you have much snow in _______?

winter, arrive, world, meter",winter
"함께 점심 하시겠어요? 
Do you want to eat lunch _______ me?

key, river, with, meet",with
"여자가 빵을 굽고 있다. 
The _______ is baking the bread.

same, rainbow, woman, book",woman
"네가 시간을 지키다니 놀랍구나. 
You are punctual for a _______.

lie, dirty, wonder, excuse",wonder
"식탁은 나무를 가지고 만든다 
The table is made of _______.

morning, month, real, wood",wood
"다시는 그런 말 하지 말아요. 
Don't ever say that _______ again.

knock, word, then, potato",word
"이 일을 곧 끝내야 한다. 
I should be finishing this _______.

behind, line, work, laugh",work
"나는 세계를 여행하고 싶다 
I want to travel around the _______.

gentle, sheet, dry, world",world
"상상해서 글을 써라. 
Write a story in your mind's eye.

plant, write, empty, may",write
"선풍기는 무엇이 잘못 됐는가? 
What is _______ with the fan?

apartment, low, wrong, weak",wrong
"그래 네가 이겼어
Yeah, you won.

arm, duck, yeah, moon",yeah
"일 년 뒤에 그는 고아가 됩니다. 
A new school _______ began today.

thin, large, year, pick",year
"노란 셔츠를 입은 이 소년은 누구니? 
Who is this boy in the _______ shirt?

spell, ready, smile, yellow",yellow
"네, 물 한잔 주세요. 
Yes. I'd like a glass of water.

let, gray, yes, war",yes
"여자친구하고 어제 헤어졌어요. 
My girlfriend and I broke up yesterday.

throw, famous, yesterday , great",yesterday 
"난 아직도 더 돈이 있다. 
I have money more and _______ more.

hurt, yet, light, at",yet
"당신은 의사인가요? 
Are _______ a doctor?

spell, telephone, deep, you",you
"문 앞에 어린 소년이 와 있어요. 
There is a _______ boy in front of the door.

young, dance, now, smoke",young
"나는 이런 영하의 날씨를 좋아하지 않는다. 
I don't like this sub-_______ weather.

grass, dog, coffee, zero",zero
"동물들이 동물원에 있다. 
The animals are in a _______.

address, minute, zoo, rice",zoo
